FlightDate,Origin,DepDelay,ArrDelay,CRSElapsedTime,ActualElapsedTime
1993-06-16,SLC,4,5,120,122
1993-06-17,SLC,12,17,121,126
1993-06-18,SLC,6,7,121,122
1993-06-19,SLC,4,2,122,119
1993-06-20,SLC,5,6,121,123
1993-06-21,SLC,4,7,119,122
1993-06-22,SLC,4,3,121,120
1993-06-23,SLC,8,8,120,120
1993-06-24,SLC,17,15,120,118
1993-06-25,SLC,10,8,121,119
1993-06-26,SLC,7,4,121,118
1993-06-27,SLC,7,5,120,118
1993-06-28,SLC,5,5,122,122
1993-06-29,SLC,8,7,120,119
1993-06-30,SLC,9,8,121,120
1993-07-01,SLC,7,5,121,119
1993-07-02,SLC,7,9,121,122
1993-07-03,SLC,4,2,124,121
1993-07-04,SLC,1,-4,124,119
1993-07-05,SLC,5,3,121,118
1993-07-06,SLC,7,4,122,119
1993-07-07,SLC,5,4,120,119
1993-07-08,SLC,5,4,121,119
1993-07-09,SLC,6,4,121,119
1993-07-10,SLC,11,9,121,120
1993-07-11,SLC,6,5,120,119
1993-07-12,SLC,3,2,121,119
1993-07-13,SLC,2,2,122,121
1993-07-14,SLC,5,5,122,122
1993-07-15,SLC,5,6,122,122
1993-07-16,SLC,7,6,120,120
1993-07-17,SLC,9,9,123,123
1993-07-18,SLC,6,5,120,119
1993-07-19,SLC,3,4,121,121
1993-07-20,SLC,2,2,121,121
1993-07-21,SLC,5,6,120,121
1993-07-22,SLC,3,3,121,121
1993-07-23,SLC,8,8,121,121
1993-07-24,SLC,7,5,122,120
1993-07-25,SLC,5,3,122,120
1993-07-26,SLC,2,2,120,120
1993-07-27,SLC,3,1,122,119
1993-07-28,SLC,7,6,120,119
1993-07-29,SLC,7,8,121,122
1993-07-30,SLC,9,10,121,122
1993-07-31,SLC,10,7,122,120
1993-08-01,SLC,7,5,122,119
1993-08-02,SLC,7,4,121,118
1993-08-03,SLC,6,3,122,119
1993-08-04,SLC,8,7,120,119
1993-08-05,SLC,5,4,122,121
1993-08-06,SLC,7,8,122,123
1993-08-07,SLC,14,13,122,121
1993-08-08,SLC,6,5,122,120
1993-08-09,SLC,5,7,121,123
1993-08-10,SLC,4,6,119,121
1993-08-11,SLC,4,7,120,123
1993-08-12,SLC,12,6,122,124
1993-08-13,SLC,6,6,121,121
1993-08-14,SLC,12,12,123,123
1993-08-15,SLC,21,15,122,123
1993-08-16,SLC,8,10,121,122
1993-08-17,SLC,4,5,121,122
1993-08-18,SLC,4,8,122,126
1993-08-19,SLC,3,5,121,123
1993-08-20,SLC,8,9,123,124
1993-08-21,SLC,4,2,123,120
1993-08-22,SLC,2,0,120,118
1993-08-23,SLC,6,5,121,120
1993-08-24,SLC,3,4,121,122
1993-08-25,SLC,5,5,121,121
1993-08-26,SLC,2,3,121,122
1993-08-27,SLC,2,3,120,120
1993-08-28,SLC,2,2,121,120
1993-08-29,SLC,6,7,121,122
1993-08-30,SLC,8,8,121,121
1993-08-31,SLC,5,3,121,119
1993-09-01,SLC,2,1,121,120
1993-09-02,SLC,12,10,120,119
1993-09-03,SLC,6,6,122,122
1993-09-04,SLC,2,-1,124,120
1993-09-05,SLC,1,-3,124,119
1993-09-06,SLC,1,0,121,120
1993-09-07,SLC,7,5,121,120
1993-09-08,SLC,5,6,121,123
1993-09-09,SLC,3,1,122,119
1993-09-10,SLC,5,4,121,119
1993-09-11,SLC,4,1,122,119
1993-09-12,SLC,9,7,120,118
1993-09-13,SLC,12,15,118,121
1993-09-14,SLC,3,4,119,120
1993-09-15,SLC,4,4,119,118
1993-09-16,SLC,4,6,119,121
1993-09-17,SLC,9,9,120,119
1993-09-18,SLC,9,8,120,119
1993-09-19,SLC,5,4,118,117
1993-09-20,SLC,4,2,118,116
1993-09-21,SLC,4,3,119,118
1993-09-22,SLC,7,6,118,117
1993-09-23,SLC,5,3,120,118
1993-09-24,SLC,7,5,119,117
1993-09-25,SLC,3,0,120,116
1993-09-26,SLC,8,6,119,117
1993-09-27,SLC,2,0,118,116
1993-09-28,SLC,1,-1,118,115
1993-09-29,SLC,3,2,119,119
1993-09-30,SLC,5,3,118,116
1993-10-01,SLC,4,1,120,117
1993-10-02,SLC,4,1,120,117
1993-10-03,SLC,2,2,119,118
1993-10-04,SLC,5,4,120,119
1993-10-05,SLC,1,1,120,120
1993-10-06,SLC,2,4,119,121
1993-10-07,SLC,9,13,120,124
1993-10-08,SLC,10,11,120,121
1993-10-09,SLC,4,3,119,117
1993-10-10,SLC,2,0,120,117
1993-10-11,SLC,1,0,119,118
1993-10-12,SLC,9,9,119,118
1993-10-13,SLC,2,2,120,120
1993-10-14,SLC,4,4,119,120
1993-10-15,SLC,9,10,119,120
1993-10-16,SLC,7,6,120,119
1993-10-17,SLC,10,12,120,121
1993-10-18,SLC,5,5,118,118
1993-10-19,SLC,13,13,119,120
1993-10-20,SLC,10,9,120,119
1993-10-21,SLC,3,3,119,119
1993-10-22,SLC,2,2,119,119
