code
AKC
ANC
ATW
ATL
AUS
BWI
BHM
BOS
BUF
CLT
CHS
MDW
RFD
ORD
CVG
CLE
CMH
LCK
DFW
DEN
DTW
FAI
FLL
RSW
FAT
BDL
HNL
IAH
HOU
HSV
IND
JAX
JNU
MCI
KTN
EYW
KOA
LAN
LAS
LAX
SDF
MLB
MEM
MIA
MKE
MSP
MYR
BNA
MSY
JFK
LGA
EWR
OAK
ONT
SNA
MCO
SBF
PSP
ECP
PHL
PHX
PIT
PDX
PVD
RDU
RNO
ROC
SMF
SLC
SAT
SAN
SFO
SJC
SJU
SRQ
LKE
BFI
SEA
PAE
GEG
STL
PIE
SYR
TLH
TPA
DCA
IAD
PBI
